birthyear|ROUND(avgheight, 4)|count
1839|72.0|1
1868|70.1143|90
1871|70.283|64
1872|70.1695|70
1873|70.2469|86
1874|70.1512|100
1876|70.0515|111
1877|70.6216|88
1878|70.3452|91
1879|70.4583|101
1880|70.6869|102
1881|70.2963|115
1882|70.0323|97
1883|70.7745|107
1884|70.5303|138
1885|70.8824|126
1886|71.1556|138
1887|70.4631|149
1888|70.7152|159
1889|70.821|164
1890|70.9937|163
1891|70.7176|171
1892|70.7285|151
1893|70.8503|170
1894|70.8712|167
1895|70.8394|137
1896|70.7669|135
1897|70.695|142
1898|70.9735|115
1899|70.7|142
1900|71.2222|127
1901|70.8158|114
1902|70.787|108
1903|71.4579|109
1904|70.8544|103
1905|71.4762|106
1906|71.2667|120
1907|71.4054|111
1908|71.5446|101
1909|71.7045|88
1910|71.5273|110
1911|71.6327|98
1912|71.6348|115
1913|71.6724|116
1914|71.8333|109
1915|71.9933|150
1916|71.9291|127
1917|72.2692|157
1918|71.942|138
1919|72.0635|126
1920|71.9439|107
1921|72.3214|112
1922|72.2336|107
1923|72.0247|81
1924|72.3303|109
1925|71.6452|93
1926|72.4906|107
1927|71.9|100
1928|72.2273|110
1929|72.2766|95
1930|72.431|116
1931|72.4911|112
1932|72.75|72
1933|73.022|91
1934|72.4944|90
1935|72.78|100
1936|72.7624|101
1937|73.028|107
1938|72.7453|107
1939|72.6667|93
1940|72.7624|102
1941|72.8276|116
1942|72.9444|126
1943|72.8779|131
1944|72.7826|138
1945|73.1228|115
1946|73.1168|137
1947|72.8158|152
1948|72.9407|136
1949|73.237|135
1950|72.8947|133
1951|72.8978|138
1952|72.9592|147
1953|73.2327|160
1954|73.3269|156
1955|73.415|147
1956|73.1566|166
1957|72.9662|148
1958|73.5|152
1959|73.3517|145
1960|73.3191|189
1961|73.0687|131
1962|73.3776|143
1963|73.3616|177
1964|73.3704|189
1965|73.2712|177
1966|73.4242|165
1967|73.3386|189
1968|73.5464|184
1969|73.4|205
1970|73.8889|180
1971|73.4762|210
1972|73.385|200
1973|73.3716|183
1974|73.6774|186
1975|73.4742|213
1976|73.4109|202
1977|73.7756|205
1978|73.6303|211
1979|73.5459|207
1980|73.6486|185
1981|74.0974|195
1982|73.757|214
1983|73.4735|245
1984|73.8522|230
1985|73.5822|213
1986|73.9573|211
1987|73.5547|256
1988|74.0228|219
1989|73.6527|239
1990|73.788|250
1991|73.7788|226
1992|73.8281|221
1993|74.019|211
1994|73.5549|164
1995|73.5431|116
1996|73.46|50
1997|72.88|25
1998|72.8333|6
1999|73.75|4
2000|75.0|1
