yearid|min|max|ROUND(avg, 4)
1985|60000.0|2130300.0|476299.4473
1986|60000.0|2800000.0|417147.0434
1987|62500.0|2127333.0|434729.4657
1988|62500.0|2340000.0|453171.0769
1989|62500.0|2766667.0|506323.0816
1990|100000.0|3200000.0|511973.6943
1991|100000.0|3800000.0|894961.1942
1992|109000.0|6100000.0|1047520.5761
1993|0.0|6200000.0|976966.559
1994|50000.0|6300000.0|1049588.56
1995|109000.0|9237500.0|964979.074
1996|109000.0|9237500.0|1027909.2911
1997|50000.0|10000000.0|1218687.4432
1998|170000.0|14936667.0|1280844.5601
1999|0.0|11949794.0|1485316.8489
2000|200000.0|15714286.0|1992984.5718
2001|200000.0|22000000.0|2279841.0616
2002|200000.0|22000000.0|2392526.6217
2003|165574.0|22000000.0|2573472.948
2004|300000.0|22500000.0|2491776.1047
2005|300000.0|26000000.0|2633830.8039
2006|327000.0|21680727.0|2834520.8999
2007|380000.0|23428571.0|2941435.8515
2008|390000.0|28000000.0|3136517.1379
2009|400000.0|33000000.0|3277646.9791
2010|400000.0|33000000.0|3278746.8253
2011|414000.0|32000000.0|3318838.2491
2012|480000.0|30000000.0|3458421.217
2013|480000.0|29000000.0|3723344.3534
2014|500000.0|26000000.0|3980445.914
2015|507000.0|32571000.0|4301276.0942
2016|507500.0|33000000.0|4396409.6038
