yearid|mindiff|maxdiff|ROUND(avgdiff, 4)
1986|0.0|669700.0|-59152.4039
1987|2500.0|-672667.0|17582.4223
1988|0.0|212667.0|18441.6112
1989|0.0|426667.0|53152.0047
1990|37500.0|433333.0|5650.6128
1991|0.0|600000.0|382987.4998
1992|9000.0|2300000.0|152559.3819
1993|-109000.0|100000.0|-70554.017
1994|50000.0|100000.0|72622.0009
1995|59000.0|2937500.0|-84609.4859
1996|0.0|0.0|62930.217
1997|-59000.0|762500.0|190778.1522
1998|120000.0|4936667.0|62157.1169
1999|-170000.0|-2986873.0|204472.2888
2000|200000.0|3764492.0|507667.7229
2001|0.0|6285714.0|286856.4899
2002|0.0|0.0|112685.5601
2003|-34426.0|0.0|180946.3263
2004|134426.0|500000.0|-81696.8433
2005|0.0|3500000.0|142054.6992
2006|27000.0|-4319273.0|200690.096
2007|53000.0|1747844.0|106914.9517
2008|10000.0|4571429.0|195081.2863
2009|10000.0|5000000.0|141129.8412
2010|0.0|0.0|1099.8462
2011|14000.0|-1000000.0|40091.4238
2012|66000.0|-2000000.0|139582.9679
2013|0.0|-1000000.0|264923.1364
2014|20000.0|-3000000.0|257101.5606
2015|7000.0|6571000.0|320830.1803
2016|500.0|429000.0|95133.5095
